ALARM ID,0
DATE,2023/01/02,11:31:20,

No,DATE,TIME,COUNT,STATUS,ALARM No,MESSAGE
0,2022/12/29,12:33:05,5,ON,3,L1003 莎翍O恑晄椙
1,2022/12/29,11:44:53,645,ON,54,L1306 冻菽据话堎忢
2,2022/12/29,09:59:18,75,ON,48,L1300 巆棷馨笇煉m堎忢
3,2022/12/29,09:12:43,74,ON,2,L1002 墶寠枹娧捠堎忢
4,2022/12/28,15:38:03,644,ON,54,L1306 冻菽据话堎忢
5,2022/12/28,14:56:48,74,ON,48,L1300 巆棷馨笇煉m堎忢
6,2022/12/28,14:46:25,643,ON,54,L1306 冻菽据话堎忢
7,2022/12/28,13:33:24,73,ON,2,L1002 墶寠枹娧捠堎忢
8,2022/12/28,13:32:59,72,ON,2,L1002 墶寠枹娧捠堎忢
9,2022/12/28,12:25:09,71,ON,2,L1002 墶寠枹娧捠堎忢
10,2022/12/28,12:19:58,250,ON,4,L1004 庱壓埵抲晄椙
11,2022/12/28,11:38:38,642,ON,54,L1306 冻菽据话堎忢
12,2022/12/28,10:53:17,641,ON,54,L1306 冻菽据话堎忢
13,2022/12/28,10:44:40,73,ON,48,L1300 巆棷馨笇煉m堎忢
14,2022/12/28,10:08:40,640,ON,54,L1306 冻菽据话堎忢
15,2022/12/28,09:31:50,639,ON,54,L1306 冻菽据话堎忢
16,2022/12/27,18:02:37,638,ON,54,L1306 冻菽据话堎忢
17,2022/12/27,16:58:12,637,ON,54,L1306 冻菽据话堎忢
18,2022/12/27,12:48:31,636,ON,54,L1306 冻菽据话堎忢
19,2022/12/27,11:35:06,635,ON,54,L1306 冻菽据话堎忢
20,2022/12/27,10:20:33,634,ON,54,L1306 冻菽据话堎忢
21,2022/12/27,10:01:31,249,ON,4,L1004 庱壓埵抲晄椙
22,2022/12/27,10:01:31,4,ON,3,L1003 莎翍O恑晄椙
23,2022/12/27,09:57:59,72,ON,48,L1300 巆棷馨笇煉m堎忢
24,2022/12/27,09:53:46,55,ON,0,L1000 埨慡缸堎忢
25,2022/12/27,09:42:02,71,ON,48,L1300 巆棷馨笇煉m堎忢
26,2022/12/26,18:36:41,633,ON,54,L1306 冻菽据话堎忢
27,2022/12/26,18:06:33,54,ON,0,L1000 埨慡缸堎忢
28,2022/12/26,18:04:35,53,ON,0,L1000 埨慡缸堎忢
29,2022/12/26,18:04:02,52,ON,0,L1000 埨慡缸堎忢
