ALARM ID,0,,,,,
DATE,2023/4/27,12:13:16,,,,
,,,,,,
No,DATE,TIME,COUNT,STATUS,ALARM No,MESSAGE
96,2023/4/1,9:16:16,958,ON,2,横穴未貫通異常
97,2023/4/1,16:22:06,910,ON,34,ワーク無し異常
98,2023/3/9,9:20:18,435,ON,4,首下位置不良
99,2023/3/9,9:19:59,949,ON,2,横穴未貫通異常
100,2023/3/9,18:45:18,859,ON,34,ワーク無し異常
101,2023/3/9,17:01:01,858,ON,34,ワーク無し異常
102,2023/3/9,10:33:42,857,ON,34,ワーク無し異常
103,2023/3/8,19:54:12,856,ON,34,ワーク無し異常
104,2023/3/8,18:38:40,855,ON,34,ワーク無し異常
105,2023/3/8,16:59:33,854,ON,34,ワーク無し異常
106,2023/3/7,19:36:07,853,ON,34,ワーク無し異常
107,2023/3/7,16:12:10,171,ON,3,ノッチ前進不良
108,2023/3/7,16:10:43,35,ON,48,排出残留ﾜｰｸ検知異常
109,2023/3/7,16:09:44,170,ON,3,ノッチ前進不良
110,2023/3/7,14:13:38,852,ON,34,ワーク無し異常
111,2023/3/7,13:16:26,851,ON,34,ワーク無し異常
112,2023/3/31,19:55:11,909,ON,34,ワーク無し異常
113,2023/3/31,19:00:16,908,ON,34,ワーク無し異常
114,2023/3/31,18:01:55,244,ON,0,安全クラッチ異常
115,2023/3/31,16:35:20,907,ON,34,ワーク無し異常
116,2023/3/31,15:13:44,906,ON,34,ワーク無し異常
117,2023/3/31,13:58:13,905,ON,34,ワーク無し異常
118,2023/3/30,19:33:20,181,ON,3,ノッチ前進不良
119,2023/3/30,19:33:19,904,ON,34,ワーク無し異常
120,2023/3/30,19:25:48,180,ON,3,ノッチ前進不良
121,2023/3/30,19:25:47,903,ON,34,ワーク無し異常
122,2023/3/30,17:21:31,902,ON,34,ワーク無し異常
123,2023/3/30,16:02:11,901,ON,34,ワーク無し異常
124,2023/3/30,14:58:36,900,ON,34,ワーク無し異常
125,2023/3/30,14:58:36,179,ON,3,ノッチ前進不良
