ALARM ID,0
DATE,2023/01/04,12:48:37,

No,DATE,TIME,COUNT,STATUS,ALARM No,MESSAGE
92,2022/12/08,16:53:02,606,ON,12,ワーク無し異常
93,2022/12/08,11:59:56,605,ON,12,ワーク無し異常
94,2022/12/08,11:39:54,604,ON,12,ワーク無し異常
95,2022/12/08,11:30:28,603,ON,12,ワーク無し異常
96,2022/12/07,19:48:49,602,ON,12,ワーク無し異常
97,2022/12/07,18:03:43,601,ON,12,ワーク無し異常
98,2022/12/07,12:44:40,593,ON,7,ツール送り(軸2)サーボ異常
99,2022/12/07,12:44:40,593,ON,6,ツール回転(軸1)サーボ異常
100,2022/12/07,12:44:40,570,ON,2,インデックス定位置異常
101,2022/12/07,10:55:43,600,ON,12,ワーク無し異常
102,2022/12/07,10:52:31,599,ON,12,ワーク無し異常
103,2022/12/06,17:55:05,598,ON,12,ワーク無し異常
104,2022/12/06,10:30:08,597,ON,12,ワーク無し異常
105,2022/12/06,10:28:16,596,ON,12,ワーク無し異常
106,2022/12/01,15:23:47,592,ON,7,ツール送り(軸2)サーボ異常
107,2022/12/01,15:23:47,592,ON,6,ツール回転(軸1)サーボ異常
108,2022/12/01,15:23:47,569,ON,2,インデックス定位置異常
109,2022/11/29,18:52:09,591,ON,7,ツール送り(軸2)サーボ異常
110,2022/11/29,18:52:09,591,ON,6,ツール回転(軸1)サーボ異常
111,2022/11/29,18:52:09,568,ON,2,インデックス定位置異常
112,2022/11/29,15:46:45,590,ON,7,ツール送り(軸2)サーボ異常
113,2022/11/29,15:46:45,590,ON,6,ツール回転(軸1)サーボ異常
114,2022/11/29,15:46:44,567,ON,2,インデックス定位置異常
115,2022/11/29,15:19:30,589,ON,7,ツール送り(軸2)サーボ異常
116,2022/11/29,15:19:30,589,ON,6,ツール回転(軸1)サーボ異常
117,2022/11/29,15:19:30,566,ON,2,インデックス定位置異常
118,2022/11/29,11:04:18,588,ON,7,ツール送り(軸2)サーボ異常
119,2022/11/29,11:04:18,588,ON,6,ツール回転(軸1)サーボ異常
120,2022/11/29,11:04:18,565,ON,2,インデックス定位置異常
121,2022/11/28,19:49:49,587,ON,7,ツール送り(軸2)サーボ異常
122,2022/11/28,19:49:49,587,ON,6,ツール回転(軸1)サーボ異常
123,2022/11/28,19:49:49,564,ON,2,インデックス定位置異常
124,2022/11/28,16:51:49,586,ON,7,ツール送り(軸2)サーボ異常
125,2022/11/28,16:51:49,586,ON,6,ツール回転(軸1)サーボ異常
126,2022/11/28,16:51:49,563,ON,2,インデックス定位置異常
127,2022/11/28,16:14:29,585,ON,7,ツール送り(軸2)サーボ異常
128,2022/11/28,16:14:29,585,ON,6,ツール回転(軸1)サーボ異常
129,2022/11/28,16:14:29,562,ON,2,インデックス定位置異常
130,2022/11/28,16:11:21,584,ON,7,ツール送り(軸2)サーボ異常
131,2022/11/28,16:11:21,584,ON,6,ツール回転(軸1)サーボ異常
132,2022/11/28,16:11:21,561,ON,2,インデックス定位置異常
133,2022/11/28,10:14:47,583,ON,7,ツール送り(軸2)サーボ異常
134,2022/11/28,10:14:47,583,ON,6,ツール回転(軸1)サーボ異常
135,2022/11/28,10:14:47,560,ON,2,インデックス定位置異常
136,2022/11/26,17:32:16,582,ON,7,ツール送り(軸2)サーボ異常
137,2022/11/26,17:32:16,582,ON,6,ツール回転(軸1)サーボ異常
138,2022/11/26,17:32:16,559,ON,2,インデックス定位置異常
139,2022/11/26,16:24:45,581,ON,7,ツール送り(軸2)サーボ異常
140,2022/11/26,16:24:45,581,ON,6,ツール回転(軸1)サーボ異常
141,2022/11/26,16:24:45,558,ON,2,インデックス定位置異常
142,2022/11/26,16:07:30,580,ON,7,ツール送り(軸2)サーボ異常
143,2022/11/26,16:07:30,580,ON,6,ツール回転(軸1)サーボ異常
144,2022/11/26,16:07:30,557,ON,2,インデックス定位置異常
145,2022/11/26,15:19:34,579,ON,7,ツール送り(軸2)サーボ異常
146,2022/11/26,15:19:34,579,ON,6,ツール回転(軸1)サーボ異常
147,2022/11/26,15:19:34,556,ON,2,インデックス定位置異常
148,2022/11/24,18:42:57,595,ON,12,ワーク無し異常
149,2022/11/24,15:19:47,578,ON,7,ツール送り(軸2)サーボ異常
150,2022/11/24,15:19:47,578,ON,6,ツール回転(軸1)サーボ異常
151,2022/11/24,15:19:47,555,ON,2,インデックス定位置異常
152,2022/11/23,18:34:07,594,ON,12,ワーク無し異常
153,2022/11/23,15:58:36,577,ON,7,ツール送り(軸2)サーボ異常
154,2022/11/23,15:58:36,577,ON,6,ツール回転(軸1)サーボ異常
155,2022/11/23,15:58:36,554,ON,2,インデックス定位置異常
156,2022/11/23,15:54:14,576,ON,7,ツール送り(軸2)サーボ異常
157,2022/11/23,15:54:14,576,ON,6,ツール回転(軸1)サーボ異常
158,2022/11/23,15:54:14,553,ON,2,インデックス定位置異常
159,2022/11/23,15:49:15,575,ON,7,ツール送り(軸2)サーボ異常
