ALARM ID,0
DATE,2023/01/04,11:56:15,

No,DATE,TIME,COUNT,STATUS,ALARM No,MESSAGE
0,2022/12/27,09:48:35,47,ON,48,非常停止ﾎﾞﾀﾝ検知
1,2022/12/27,09:47:27,46,ON,48,非常停止ﾎﾞﾀﾝ検知
2,2022/12/27,09:46:51,45,ON,48,非常停止ﾎﾞﾀﾝ検知
3,2022/12/23,18:51:38,2507,ON,12,ﾜｰｸ無し異常
4,2022/12/22,16:23:24,2506,ON,12,ﾜｰｸ無し異常
5,2022/12/22,16:12:59,1901,ON,3,ﾉｯﾁ原位置異常
6,2022/12/22,11:49:07,2505,ON,12,ﾜｰｸ無し異常
7,2022/12/21,09:51:16,2504,ON,12,ﾜｰｸ無し異常
8,2022/12/19,10:33:27,2503,ON,12,ﾜｰｸ無し異常
9,2022/12/19,09:52:10,1900,ON,3,ﾉｯﾁ原位置異常
10,2022/12/19,09:15:54,1899,ON,3,ﾉｯﾁ原位置異常
11,2022/12/19,09:15:50,1898,ON,3,ﾉｯﾁ原位置異常
12,2022/12/19,09:15:44,1897,ON,3,ﾉｯﾁ原位置異常
13,2022/12/19,09:15:40,1896,ON,3,ﾉｯﾁ原位置異常
14,2022/12/19,09:15:08,1895,ON,3,ﾉｯﾁ原位置異常
15,2022/12/19,09:14:42,1894,ON,3,ﾉｯﾁ原位置異常
16,2022/12/19,09:12:46,1893,ON,3,ﾉｯﾁ原位置異常
17,2022/12/19,08:43:23,1892,ON,3,ﾉｯﾁ原位置異常
18,2022/12/19,08:43:17,1891,ON,3,ﾉｯﾁ原位置異常
19,2022/12/19,08:41:17,1890,ON,3,ﾉｯﾁ原位置異常
20,2022/12/19,08:41:05,1889,ON,3,ﾉｯﾁ原位置異常
21,2022/12/16,18:13:00,1888,ON,3,ﾉｯﾁ原位置異常
22,2022/12/16,18:12:54,1887,ON,3,ﾉｯﾁ原位置異常
23,2022/12/16,18:12:51,1886,ON,3,ﾉｯﾁ原位置異常
24,2022/12/16,18:12:15,1885,ON,3,ﾉｯﾁ原位置異常
25,2022/12/16,18:12:12,1884,ON,3,ﾉｯﾁ原位置異常
26,2022/12/16,18:00:51,1883,ON,3,ﾉｯﾁ原位置異常
27,2022/12/16,18:00:36,1882,ON,3,ﾉｯﾁ原位置異常
28,2022/12/16,17:59:01,1881,ON,3,ﾉｯﾁ原位置異常
