ALARM ID,0
DATE,2023/01/04,11:45:26,

No,DATE,TIME,COUNT,STATUS,ALARM No,MESSAGE
0,2022/12/29,15:30:45,32,ON,2,L1002 横穴未貫通異常
1,2022/12/29,13:06:03,280,ON,5,L1005 二面幅位置決め異常
2,2022/12/29,13:05:11,49,ON,54,L1306 ｶｳﾝﾄｾﾝｻｰ異常
3,2022/12/29,13:00:51,279,ON,5,L1005 二面幅位置決め異常
4,2022/12/29,12:58:34,48,ON,54,L1306 ｶｳﾝﾄｾﾝｻｰ異常
5,2022/12/29,10:26:38,278,ON,5,L1005 二面幅位置決め異常
6,2022/12/28,18:47:37,277,ON,5,L1005 二面幅位置決め異常
7,2022/12/28,18:44:59,47,ON,54,L1306 ｶｳﾝﾄｾﾝｻｰ異常
8,2022/12/28,17:37:25,276,ON,5,L1005 二面幅位置決め異常
9,2022/12/28,14:22:54,139,ON,3,L1003 ﾉｯﾁ前進不良
10,2022/12/28,14:07:59,275,ON,5,L1005 二面幅位置決め異常
11,2022/12/28,14:05:42,274,ON,5,L1005 二面幅位置決め異常
12,2022/12/28,14:05:24,273,ON,5,L1005 二面幅位置決め異常
13,2022/12/28,14:05:10,272,ON,5,L1005 二面幅位置決め異常
14,2022/12/28,14:04:52,155,ON,4,L1004 足先検査不良
15,2022/12/20,09:11:51,271,ON,5,L1005 二面幅位置決め異常
16,2022/12/20,09:07:31,31,ON,2,L1002 横穴未貫通異常
17,2022/12/20,08:43:03,270,ON,5,L1005 二面幅位置決め異常
18,2022/12/20,08:23:17,269,ON,5,L1005 二面幅位置決め異常
19,2022/12/19,14:35:46,268,ON,5,L1005 二面幅位置決め異常
20,2022/12/19,11:58:40,154,ON,4,L1004 足先検査不良
21,2022/12/19,11:51:51,267,ON,5,L1005 二面幅位置決め異常
22,2022/12/19,11:48:36,266,ON,5,L1005 二面幅位置決め異常
23,2022/12/19,10:53:44,265,ON,5,L1005 二面幅位置決め異常
24,2022/12/19,10:46:20,104,ON,1,L1001 ｸﾗﾝﾌﾟ不良
25,2022/12/19,10:16:45,264,ON,5,L1005 二面幅位置決め異常
26,2022/12/19,10:15:07,263,ON,5,L1005 二面幅位置決め異常
27,2022/12/19,09:52:07,103,ON,1,L1001 ｸﾗﾝﾌﾟ不良
28,2022/12/19,09:38:44,262,ON,5,L1005 二面幅位置決め異常
29,2022/12/16,16:54:36,261,ON,5,L1005 二面幅位置決め異常
30,2022/12/16,16:05:44,260,ON,5,L1005 二面幅位置決め異常
31,2022/12/16,14:22:28,102,ON,1,L1001 ｸﾗﾝﾌﾟ不良
32,2022/12/16,14:06:07,259,ON,5,L1005 二面幅位置決め異常
33,2022/12/16,13:52:41,258,ON,5,L1005 二面幅位置決め異常
34,2022/12/16,13:12:35,101,ON,1,L1001 ｸﾗﾝﾌﾟ不良
35,2022/12/16,13:11:23,257,ON,5,L1005 二面幅位置決め異常
36,2022/12/16,13:09:53,153,ON,4,L1004 足先検査不良
37,2022/12/16,12:26:01,256,ON,5,L1005 二面幅位置決め異常
38,2022/12/16,11:48:16,152,ON,4,L1004 足先検査不良
39,2022/12/16,11:18:44,151,ON,4,L1004 足先検査不良
40,2022/12/16,11:02:40,138,ON,3,L1003 ﾉｯﾁ前進不良
41,2022/12/16,08:40:13,255,ON,5,L1005 二面幅位置決め異常
